size\stride	s1	s3	s5	s7	s9	s11	s13	s15	s17	s19	s21	s23	s25	s27	s29	s31	
128m	9301	5173	3250	2190	1691	1426	1197	1035	904	827	772	719	669	624	627	616	
64m	9473	5205	3277	2236	1774	1452	1232	1046	932	849	778	724	680	653	642	628	
32m	9642	5137	3350	2351	1830	1490	1266	1092	961	870	811	762	733	720	732	746	
16m	9327	5548	3530	2514	1923	1629	1390	1187	1134	1083	1036	1041	1055	1101	1218	1251	
8m	9129	6308	4637	3781	3075	2567	2341	2113	1992	1976	1920	1947	2024	1963	1771	2145	
4m	10060	8970	6996	6210	5097	4298	3687	3249	3059	3036	3032	3018	2993	3005	3006	3000	
2m	10175	9244	7129	6480	5353	4444	3799	3321	3117	3102	3085	3071	3079	3064	3059	3074	
1024k	10188	9283	7130	6542	5370	4454	3812	3338	3124	3108	3096	3077	3084	3078	3073	3072	
512k	10179	9266	7113	6497	5382	4445	3822	3324	3120	3091	3090	3070	3073	3080	3222	3513	
256k	10193	9618	8977	8548	8100	7719	7180	6497	6290	6672	6989	6123	6204	7323	7497	7113	
128k	10197	9699	9280	8879	8541	8383	7984	7480	7438	7435	7487	7331	7416	7488	7304	7351	
64k	10218	9648	9165	8978	8431	8209	7895	7448	7193	7173	7150	7048	8291	8116	7929	7885	
32k	10174	9981	9854	9735	9758	9728	9070	9359	9618	8605	8680	8464	8770	8577	8515	8135	
16k	9533	9452	9129	8188	8850	8668	8692	8404	7838	7560	7354	7623	7435	7319	6812	7530	
8k	9506	9220	8996	8378	8280	7966	7450	6813	7321	6933	6652	6359	6132	5877	5766	5600	
4k	9594	8841	8034	7381	7117	6542	6109	5582	5188	4931	4564	4346	4068	3853	3681	4978	
2k	9027	7443	6771	5864	5102	4446	4006	4396	4849	5044	4988	4795	4582	5657	3007	4392	
1k	8216	6290	4775	3726	4917	4782	4644	4274	4243	4283	3879	3829	3771	3488	4400	3733	
